turn,fromRank,fromFile,toRank,toFile,timeSpent,ELO,win
32,5,6,3,5,9,2033,1
34,3,5,2,7,9,2033,1
36,2,7,4,6,9,2033,1
8,7,6,5,5,4,2961,1
18,7,1,6,3,9,2961,1
20,5,5,4,3,8,2961,1
42,6,3,4,2,16,2961,1
52,4,2,2,3,15,2961,1
76,2,3,3,5,25,2961,1
92,3,5,2,7,27,2961,1
4,7,6,5,5,2,2032,0
10,7,1,5,2,5,2032,0
32,5,5,4,7,15,2032,0
34,4,7,6,6,9,2032,0
38,6,6,4,5,10,2032,0
40,4,5,6,6,10,2032,0
44,6,6,4,5,12,2032,0
4,7,1,5,2,2,2122,1
6,7,6,5,5,3,2122,1
8,5,5,3,4,2,2122,1
10,3,4,5,3,3,2122,1
14,5,3,4,5,4,2122,1
46,4,5,3,7,19,2122,1
52,3,7,1,6,14,2122,1
70,1,6,3,5,22,2122,1
72,3,5,2,7,18,2122,1
76,2,7,1,5,20,2122,1
2,7,1,5,2,1,2030,1
6,5,2,3,3,2,2030,1
8,3,3,4,5,2,2030,1
10,7,6,5,5,5,2030,1
14,5,5,3,4,4,2030,1
24,3,4,4,6,8,2030,1
32,4,5,3,7,14,2030,1
34,3,7,4,5,9,2030,1
40,4,5,3,7,11,2030,1
8,7,6,5,5,4,1977,0
18,7,1,6,3,9,1977,0
20,5,5,3,6,8,1977,0
22,3,6,4,4,6,1977,0
32,6,3,4,4,11,1977,0
34,4,4,3,2,11,1977,0
4,7,6,5,5,2,2668,0
24,7,1,6,3,12,2668,0
32,6,3,5,5,10,2668,0
34,5,5,3,4,16,2668,0
36,3,4,5,3,9,2668,0
40,5,3,3,2,11,2668,0
62,3,2,4,4,21,2668,0
8,7,1,5,2,4,1978,0
14,7,6,5,5,7,1978,0
16,5,2,4,4,6,1978,0
18,5,5,3,6,5,1978,0
20,3,6,2,4,5,1978,0
22,4,4,2,3,7,1978,0
24,2,4,1,2,7,1978,0
26,1,2,0,0,7,1978,0
4,7,6,5,5,2,1984,0
14,7,1,5,2,7,1984,0
28,5,2,3,3,10,1984,0
40,3,3,1,2,13,1984,0
50,5,5,3,4,24,1984,0
8,7,6,5,5,4,2287,0
30,7,1,5,2,15,2287,0
38,5,2,3,1,11,2287,0
40,3,1,4,3,10,2287,0
4,7,6,5,5,2,2151,0
