turn,fromRank,fromFile,toRank,toFile,timeSpent,win
86,3,6,4,4,25,0
110,4,4,3,6,33,0
120,3,6,4,4,32,0
4,7,1,5,2,2,1
12,7,6,6,4,6,1
26,5,2,3,1,12,1
52,6,4,4,5,23,1
54,4,5,5,3,14,1
10,7,1,5,2,5,1
14,7,6,5,5,7,1
26,5,5,6,3,9,1
32,5,2,4,4,13,1
34,6,3,4,4,10,1
38,4,4,2,3,10,1
40,2,3,4,2,10,1
46,4,2,6,1,13,1
52,6,1,4,0,14,1
2,7,6,5,5,1,1
26,7,1,5,2,13,1
32,5,2,4,0,9,1
34,5,5,3,4,16,1
48,4,0,3,2,16,1
62,3,2,1,3,19,1
8,7,1,5,2,4,1
16,7,6,5,5,8,1
20,5,5,4,3,6,1
24,4,3,2,4,7,1
2,7,6,5,5,1,0
26,7,1,5,0,13,0
34,5,0,6,2,10,0
42,6,2,5,4,12,0
48,5,4,4,2,13,0
50,4,2,3,4,13,0
56,3,4,1,5,15,0
4,7,1,5,2,2,1
6,7,6,5,5,3,1
10,5,2,4,4,4,1
12,4,4,5,2,3,1
14,5,2,7,1,4,1
16,5,5,7,6,6,1
22,7,1,5,0,7,1
40,7,6,5,7,16,1
58,5,7,4,5,19,1
78,5,0,4,2,33,1
80,4,2,3,4,20,1
82,3,4,5,3,21,1
2,7,6,5,5,1,1
20,5,5,3,4,9,1
24,7,1,5,2,12,1
26,3,4,5,5,8,1
34,5,5,4,7,10,1
36,4,7,3,5,9,1
42,5,2,6,4,15,1
58,6,4,4,5,18,1
6,7,6,5,5,3,0
12,7,1,6,3,6,0
16,6,3,5,5,5,0
48,5,5,3,4,22,0
54,3,4,2,2,15,0
56,2,2,3,0,14,0
62,3,0,5,1,17,0
2,7,6,5,5,1,1
16,7,1,6,3,8,1
34,6,3,4,4,13,1
42,4,4,5,2,12,1
46,5,2,7,1,12,1
52,7,1,6,3,14,1
72,5,5,4,3,35,1
76,6,3,4,2,25,1
88,4,3,6,2,26,1
90,6,2,5,0,23,1
98,4,2,5,4,30,1
110,5,0,4,2,32,1
112,4,2,3,4,28,1
8,7,6,6,4,4,1
12,7,1,5,2,6,1
20,6,4,5,6,8,1
22,5,2,6,4,8,1
30,6,4,4,5,9,1
48,4,5,6,6,16,1
62,6,6,7,4,19,1
64,7,4,5,5,16,1
6,7,6,5,5,3,1
20,7,1,5,2,10,1
24,5,2,4,0,7,1
30,5,5,3,4,13,1
34,4,0,5,2,11,1
4,7,1,5,2,2,1
6,7,6,5,5,3,1
16,5,2,6,4,7,1
18,6,4,5,6,5,1
40,5,6,7,5,15,1
60,7,5,6,3,20,1
68,6,3,7,1,19,1
10,7,1,5,2,5,1
12,7,6,5,5,6,1
18,5,5,3,4,6,1
22,3,4,4,6,6,1
34,5,2,4,4,14,1
8,7,6,5,5,4,1
24,5,5,6,3,10,1
32,7,1,5,2,16,1
40,5,2,4,4,12,1
46,4,4,5,2,13,1
56,5,2,7,3,16,1
6,7,6,5,5,3,1
10,7,1,5,2,5,1
22,5,2,3,1,8,1
30,3,1,4,3,9,1
32,5,5,4,3,14,1
6,7,6,5,5,3,1
12,7,1,5,2,6,1
30,5,2,4,4,12,1
38,5,5,3,4,17,1
8,7,6,5,5,4,0
10,7,1,5,2,5,0
22,5,5,7,4,9,0
36,7,4,5,5,12,0
44,5,2,3,1,19,0
46,5,5,4,3,14,0
48,4,3,3,5,12,0
58,3,5,2,7,17,0
70,2,7,1,5,20,0
4,7,1,5,2,2,0
6,7,6,5,5,3,0
16,5,5,4,3,6,0
18,5,2,3,1,8,0
6,7,6,5,5,3,0
10,7,1,5,2,5,0
32,5,5,4,3,14,0
36,5,2,4,4,15,0
8,7,6,5,5,4,0
14,7,1,5,2,7,0
20,5,5,4,3,8,0
8,7,6,5,5,4,0
14,7,1,5,2,7,0
24,5,2,4,0,8,0
38,4,0,3,2,13,0
40,5,5,6,3,18,0
44,6,3,5,1,12,0
48,5,1,4,3,13,0
8,7,6,5,5,4,1
10,7,1,6,3,5,1
20,5,5,3,4,8,1
30,6,3,4,4,12,1
6,7,6,5,5,3,1
16,7,1,6,3,8,1
34,5,5,3,4,15,1
38,3,4,2,2,10,1
44,6,3,5,5,18,1
48,5,5,6,3,13,1
62,6,3,7,5,19,1
72,7,5,5,6,20,1
2,7,6,5,5,1,1
14,7,1,6,3,7,1
2,7,6,5,5,1,1
12,5,5,4,3,5,1
